City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Christchurch,NZ,2022-11-23 03:41:46,-43.5333,172.6333,71.8,26,23,20.71
241,Parana,AR,2022-11-23 03:41:46,-31.732,-60.5238,62.55,93,2,6.85
242,Caninde,BR,2022-11-23 03:41:47,-4.3589,-39.3117,75.43,74,8,3.58
243,Lebanon,US,2022-11-23 03:41:31,36.2081,-86.2911,49.21,62,40,0.0
244,Torrington,US,2022-11-23 03:41:47,41.8007,-73.1212,39.2,71,11,1.01
245,Sulangan,PH,2022-11-23 03:41:48,11.1373,123.7228,83.8,73,76,5.99
246,Labuhan,ID,2022-11-23 03:41:48,-6.8844,112.2051,87.13,61,100,4.32
247,Svinninge,DK,2022-11-23 03:41:48,55.7211,11.4655,39.54,99,100,14.5
248,Lawang,ID,2022-11-23 03:41:49,-7.8353,112.6947,82.26,67,100,0.25
249,Vardo,NO,2022-11-23 03:41:49,70.3705,31.1107,30.18,86,20,9.22
250,Shitanjing,CN,2022-11-23 03:41:50,39.2342,106.3439,49.44,22,34,20.49
251,Kamaishi,JP,2022-11-23 03:41:50,39.2667,141.8833,48.83,73,100,4.38
252,Xai-Xai,MZ,2022-11-23 03:41:50,-25.0519,33.6442,71.37,71,67,4.85
253,Sterling,US,2022-11-23 03:39:21,39.0062,-77.4286,44.89,59,0,3.44
254,Namibe,AO,2022-11-23 03:41:51,-15.1961,12.1522,71.64,73,97,5.35
255,Laguna,US,2022-11-23 03:41:51,38.421,-121.4238,54.32,67,0,0.0
256,Boueni,YT,2022-11-23 03:41:52,-12.9025,45.0761,78.78,74,0,4.23
257,Port Augusta,AU,2022-11-23 03:41:52,-32.5,137.7667,74.1,35,0,8.23
258,Yasothon,TH,2022-11-23 03:41:53,15.75,104.1333,83.89,69,100,5.91
259,Santa Rosa,PH,2022-11-23 03:41:46,14.3122,121.1114,89.58,73,100,10.11
260,Karratha,AU,2022-11-23 03:41:54,-20.7377,116.8463,88.27,44,61,12.21
261,Bredasdorp,ZA,2022-11-23 03:41:54,-34.5322,20.0403,59.47,76,5,4.76
262,Council Bluffs,US,2022-11-23 03:41:54,41.2619,-95.8608,47.28,43,0,0.0
263,North Myrtle Beach,US,2022-11-23 03:40:24,33.816,-78.68,57.25,70,20,5.75
264,Lahaina,US,2022-11-23 03:41:55,20.8783,-156.6825,78.8,81,4,10.6
265,Nantucket,US,2022-11-23 03:41:55,41.2835,-70.0995,50.11,62,40,13.8
266,Jalu,LY,2022-11-23 03:41:56,29.0331,21.5482,58.59,60,0,8.81
267,Ulaanbaatar,MN,2022-11-23 03:38:15,47.9077,106.8832,12.33,62,0,2.24
268,Mingshui,CN,2022-11-23 03:41:56,36.7167,117.5,58.95,54,0,5.1
269,Sorong,ID,2022-11-23 03:41:57,-0.8833,131.25,83.03,69,100,1.79
270,Hobyo,SO,2022-11-23 03:41:57,5.3505,48.5268,81.09,65,41,15.03
271,Lagoa,PT,2022-11-23 03:41:58,39.05,-27.9833,59.86,68,100,12.46
272,Svelgen,NO,2022-11-23 03:41:58,61.7685,5.2955,44.19,51,100,11.16
273,Limot,PH,2022-11-23 03:41:58,7.0405,126.2727,83.5,75,92,2.93
274,Darya Khan,PK,2022-11-23 03:41:59,31.7912,71.1039,70.12,23,0,3.04
275,Davila,PH,2022-11-23 03:41:59,18.4726,120.5763,85.98,69,69,5.01
